"","Quarter.Name","Gross.SR","Net.SR","Gross.CR","Net.CR","Gross.cumP.L","Net.cumP.L","Av.ntrades","Stat"
"1","2022_Q1",-0.0544624295251856,-1.33563558714029,-0.10138861574138,-1.97818853738929,-577.280012234378,-14452.7352300964,4.64406779661017,-5.28351149219793
"2","2022_Q3",-0.27353155461075,-0.886614337145375,-0.528768930277232,-1.53043117092109,-2837.7949762515,-9247.56366507572,2.16666666666667,-3.40423007719248
"3","2022_Q4",3.77988163184204,2.57260199850031,12.4474066419399,7.09878961876242,22419.6526972512,14865.4945706903,2.66666666666667,19.1599364889886
"4","2023_Q2",6.97134777722139,5.29250020499231,44.5676696662985,27.4860470322552,53970.7278475343,40750.7352685553,4.3,101.903801516913
"5","2023_Q4",4.22906006045878,2.89690069524018,27.1422746294991,14.4121308357989,22088.1716205275,14856.9881184674,2.27118644067797,38.8907075235141
"6","2024_Q1",2.56147408454417,0.820526677703734,4.89021794403854,1.07078945857229,12773.7026817308,3430.21393169937,2.86666666666667,1.31987931859171
"7","2024_Q2",0.839748309766304,-0.814162220116678,2.26681951262882,-1.55252483466602,4840.63716177231,-4716.80343655268,2.93333333333333,-2.40816991499101
